country,generation,p25,p75,mean_d
GIB,10,1.0,1.0,0.979055720773682
GRD,10,1.0,1.0,0.979055720773682
GRL,10,1.0,1.0,0.979055720773682
KIR,10,0.0,0.0,0.0
KNA,10,1.0,1.0,0.979055720773682
LCA,10,0.0,0.0,0.0
MDV,10,1.0,1.0,0.979055720773682
NRU,10,1.0,1.0,0.9804351000146007
PCI,10,1.0,1.0,0.979055720773682
SHN,10,1.0,1.0,0.979055720773682
SLB,10,1.0,1.0,0.979055720773682
SYC,10,1.0,1.0,0.979055720773682
TON,10,1.0,1.0,0.979055720773682
VCT,10,1.0,1.0,0.979055720773682
VIR,10,1.0,1.0,0.979055720773682
CYM,10,1.0,1.0,0.979055720773682
BGD,10,1.0,1.0,0.979055720773682
BTN,10,0.0,0.0,0.0
MSR,10,1.0,1.0,0.979055720773682
VGB,10,1.0,1.0,0.979055720773682
COK,10,1.0,1.0,0.979055720773682
IOT,10,1.0,1.0,0.979055720773682
CCK,10,1.0,1.0,0.979055720773682
NIU,10,1.0,1.0,0.979055720773682
TCA,10,1.0,1.0,0.979055720773682
TKL,10,1.0,1.0,0.979055720773682
TUV,10,0.0,0.0,0.0
ABW,10,1.0,1.0,0.979055720773682
ARM,10,1.0,1.0,0.979055720773682
ASM,10,1.0,1.0,0.979055720773682
AZE,10,1.0,1.0,0.979055720773682
BIH,10,1.0,1.0,0.979055720773682
BLR,10,1.0,1.0,0.979055720773682
BWA,10,1.0,1.0,0.979055720773682
CZE,10,0.0,0.0,0.0
ERI,10,0.0,0.0,0.0
EST,10,1.0,1.0,0.979055720773682
FSM,10,1.0,1.0,0.979055720773682
GEO,10,1.0,1.0,0.979055720773682
GUM,10,1.0,1.0,0.979055720773682
HRV,10,1.0,1.0,0.979055720773682
KAZ,10,1.0,1.0,0.979055720773682
KGZ,10,0.0,0.0,0.0
LSO,10,1.0,1.0,0.979055720773682
LTU,10,1.0,1.0,0.979055720773682
LUX,10,1.0,1.0,0.979055720773682
LVA,10,1.0,1.0,0.979055720773682
MDA,10,1.0,1.0,0.979055720773682
MHL,10,1.0,1.0,0.979055720773682
MKD,10,1.0,1.0,0.979055720773682
MNE,10,1.0,1.0,0.979055720773682
MNP,10,1.0,1.0,0.979055720773682
NAM,10,1.0,1.0,0.979055720773682
NFK,10,1.0,1.0,0.979055720773682
PCN,10,1.0,1.0,0.979055720773682
PLW,10,1.0,1.0,0.979055720773682
PSE,10,1.0,1.0,0.979055720773682
SMR,10,1.0,1.0,0.979055720773682
SRB,10,1.0,1.0,0.979055720773682
SVK,10,1.0,1.0,0.9804351000146007
SVN,10,1.0,1.0,0.979055720773682
SWZ,10,1.0,1.0,0.979055720773682
TJK,10,1.0,1.0,0.979055720773682
TKM,10,1.0,1.0,0.979055720773682
UKR,10,1.0,1.0,0.979055720773682
UZB,10,1.0,1.0,0.979055720773682
AIA,10,1.0,1.0,0.979055720773682
ATF,10,1.0,1.0,0.979055720773682
WLF,10,0.0,0.0,0.0
SCG,10,1.0,1.0,0.979055720773682
UMI,10,1.0,1.0,0.979055720773682
ATA,10,0.0,0.0,0.0
HMD,10,1.0,1.0,0.979055720773682
MYT,10,1.0,1.0,0.979055720773682
VAT,10,1.0,1.0,0.979055720773682
BVT,10,1.0,1.0,0.979055720773682
SGS,10,1.0,1.0,0.979055720773682
CUW,10,0.0,0.0,0.0
SXM,10,0.0,0.0,0.0
SSD,10,1.0,1.0,0.979055720773682
BES,10,1.0,1.0,0.979055720773682
BLM,10,1.0,1.0,0.979055720773682
AFG,11,1.0,1.0,0.979055720773682
AGO,11,1.0,1.0,0.979055720773682
ALB,11,1.0,1.0,0.979055720773682
ANS,11,1.0,1.0,0.979055720773682
ANT,11,1.0,1.0,0.979055720773682
ARG,11,1.0,1.0,0.979055720773682
AUS,11,1.0,1.0,0.979055720773682
AUT,11,1.0,1.0,0.979055720773682
BDI,11,1.0,1.0,0.979055720773682
BEL,11,1.0,1.0,0.979055720773682
BEN,11,1.0,1.0,0.979055720773682
BFA,11,1.0,1.0,0.979055720773682
BGR,11,1.0,1.0,0.979055720773682
BHR,11,0.0,0.0,0.0
BHS,11,1.0,1.0,0.979055720773682
BMU,11,1.0,1.0,0.979055720773682
BOL,11,1.0,1.0,0.979055720773682
BRA,11,1.0,1.0,0.979055720773682
BRB,11,1.0,1.0,0.979055720773682
BRN,11,1.0,1.0,0.9804351000146007
CAF,11,1.0,1.0,0.979055720773682
CAN,11,0.0,0.0,0.0
CHE,11,1.0,1.0,0.979055720773682
CHL,11,1.0,1.0,0.979055720773682
CHN,11,1.0,1.0,0.979055720773682
CIV,11,1.0,1.0,0.979055720773682
CMR,11,1.0,1.0,0.979055720773682
COD,11,1.0,1.0,0.979055720773682
COG,11,0.0,0.0,0.0
COL,11,1.0,1.0,0.979055720773682
COM,11,1.0,1.0,0.979055720773682
CRI,11,1.0,1.0,0.979055720773682
CSK,11,1.0,1.0,0.979055720773682
CUB,11,1.0,1.0,0.9804351000146007
CYP,11,1.0,1.0,0.979055720773682
DEU,11,1.0,1.0,0.979055720773682
DJI,11,1.0,1.0,0.979055720773682
DNK,11,0.0,0.0,0.0
DOM,11,1.0,1.0,0.979055720773682
DZA,11,1.0,1.0,0.979055720773682
ECU,11,1.0,1.0,0.9804351000146007
EGY,11,1.0,1.0,0.979055720773682
ESP,11,1.0,1.0,0.979055720773682
ETH,11,1.0,1.0,0.979055720773682
FIN,11,1.0,1.0,0.979055720773682
FJI,11,1.0,1.0,0.979055720773682
FRA,11,1.0,1.0,0.979055720773682
GAB,11,1.0,1.0,0.979055720773682
GBR,11,1.0,1.0,0.979055720773682
GHA,11,1.0,1.0,0.979055720773682
GIN,11,1.0,1.0,0.979055720773682
GLP,11,1.0,1.0,0.979055720773682
GMB,11,1.0,1.0,0.979055720773682
GNB,11,1.0,1.0,0.979055720773682
GNQ,11,0.0,0.0,0.0
GRC,11,1.0,1.0,0.979055720773682
GTM,11,0.0,0.0,0.0
GUF,11,1.0,1.0,0.979055720773682
GUY,11,1.0,1.0,0.979055720773682
HKG,11,1.0,1.0,0.9804351000146007
HND,11,1.0,1.0,0.979055720773682
HTI,11,1.0,1.0,0.979055720773682
HUN,11,1.0,1.0,0.979055720773682
IDN,11,1.0,1.0,0.979055720773682
IND,11,1.0,1.0,0.979055720773682
IRL,11,1.0,1.0,0.979055720773682
IRN,11,1.0,1.0,0.979055720773682
IRQ,11,1.0,1.0,0.9816031537450722
ISL,11,1.0,1.0,0.979055720773682
ISR,11,1.0,1.0,0.979055720773682
ITA,11,1.0,1.0,0.979055720773682
JAM,11,1.0,1.0,0.979055720773682
JOR,11,1.0,1.0,0.979055720773682
JPN,11,1.0,1.0,0.979055720773682
KEN,11,1.0,1.0,0.979055720773682
KHM,11,1.0,1.0,0.979055720773682
KOR,11,1.0,1.0,0.979055720773682
KWT,11,1.0,1.0,0.979055720773682
LAO,11,1.0,1.0,0.979055720773682
LBN,11,1.0,1.0,0.979055720773682
LBR,11,1.0,1.0,0.979055720773682
LBY,11,1.0,1.0,0.9804351000146007
LKA,11,1.0,1.0,0.979055720773682
MAC,11,1.0,1.0,0.979055720773682
MAR,11,1.0,1.0,0.979055720773682
MDG,11,1.0,1.0,0.979055720773682
MEX,11,0.0,0.0,0.0
MLI,11,1.0,1.0,0.979055720773682
MLT,11,1.0,1.0,0.979055720773682
MMR,11,1.0,1.0,0.979055720773682
MNG,11,1.0,1.0,0.979055720773682
MOZ,11,1.0,1.0,0.979055720773682
MRT,11,1.0,1.0,0.979055720773682
MTQ,11,1.0,1.0,0.979055720773682
MUS,11,0.0,0.0,0.0
